StudentID,StudentEmail
92247521,johnnym17@tech.edu
13173932,jimmyj97@tech.edu
97366996,adamh95@tech.edu
52822084,douglash9@tech.edu
28416123,ryanw87@tech.edu
62180844,jeffreyl19@tech.edu
44902537,brianc95@tech.edu
56866804,victorl49@tech.edu
73233770,justinb31@tech.edu
13014215,petera74@tech.edu
71371981,wayner54@tech.edu
92245365,anthonyw29@tech.edu
74624475,samuelr51@tech.edu
24360004,arthurc54@tech.edu
96945913,bobbyr96@tech.edu
90546674,josephm30@tech.edu
20552956,frankw54@tech.edu
35285417,michaelp22@tech.edu
30686593,georges39@tech.edu
92127782,phillipb34@tech.edu
78564865,davidb38@tech.edu
25715503,donaldc95@tech.edu
82681130,earlh49@tech.edu
66337319,russellt65@tech.edu
54858114,juanm9@tech.edu
52779323,craigh44@tech.edu
70107607,gregoryd4@tech.edu
98841886,howards54@tech.edu
48086534,kennethg58@tech.edu
34569090,louisa51@tech.edu
10563896,garyg58@tech.edu
22276589,albertt32@tech.edu
39742261,keithb1@tech.edu
83590894,roys9@tech.edu
43522997,williaml90@tech.edu
63151402,philipa19@tech.edu
41651432,jeremyp12@tech.edu
15182332,seang66@tech.edu
28951793,jamesm64@tech.edu
14817629,harryc2@tech.edu
62618279,benjamina28@tech.edu
30813574,shawnj43@tech.edu
77885687,jessep38@tech.edu
50107191,josey10@tech.edu
57831714,stephenc79@tech.edu
34161959,lawrencer56@tech.edu
56918272,jasons16@tech.edu
26425756,clarences50@tech.edu
13904631,jerryg75@tech.edu
76059453,henryr88@tech.edu
88010681,carlm14@tech.edu
49244246,matthewt1@tech.edu
81631951,brandonf80@tech.edu
24874848,markr50@tech.edu
85896221,jonathanm5@tech.edu
65611148,chrisp1@tech.edu
46484206,ernestd21@tech.edu
22780475,terryr20@tech.edu
90308752,joshuas7@tech.edu
64617275,carlosh79@tech.edu
50461532,andrewf83@tech.edu
36085199,stevet86@tech.edu
65502425,willieb8@tech.edu
24180271,dennism13@tech.edu
28632851,eugenec98@tech.edu
62509303,scottw22@tech.edu
50573749,larryh10@tech.edu
49762596,joew67@tech.edu
46515183,danielk95@tech.edu
92616757,stevenj23@tech.edu
60311987,rogerj31@tech.edu
88258051,nicholasw30@tech.edu
46973584,walterk61@tech.edu
33950573,alanp82@tech.edu
82341456,robertw86@tech.edu
75903340,randyh48@tech.edu
61306903,raymondb94@tech.edu
61910083,geraldn23@tech.edu
87113813,edwardm85@tech.edu
40576322,fredp71@tech.edu
83662824,christopherg57@tech.edu
67832988,thomasc81@tech.edu
97701624,haroldw55@tech.edu
98955307,ronaldg95@tech.edu
87409880,timothyp17@tech.edu
33816995,patrickr40@tech.edu
52407739,ralphp51@tech.edu
32270314,ericc58@tech.edu
41620998,richardr82@tech.edu
47568155,paulr76@tech.edu
86793121,brucew41@tech.edu
83012952,kevine51@tech.edu
57738988,martinb48@tech.edu
68826210,charlest55@tech.edu
37932519,aaronb20@tech.edu
64752641,toddl87@tech.edu
25424605,jacke87@tech.edu
74102755,johnj85@tech.edu
11927047,billyb54@tech.edu
24824872,toms27@tech.edu
44152730,marial33@tech.edu
88903280,loisg86@tech.edu
33423556,rubyb50@tech.edu
86818502,janicec4@tech.edu
28244688,deborahb89@tech.edu
40863241,lindad43@tech.edu
29698268,wandam7@tech.edu
82160172,nancyw90@tech.edu
26985266,marier40@tech.edu
49766685,laurab40@tech.edu
60700069,ruthg9@tech.edu
69491157,melissab15@tech.edu
65289781,jessicab51@tech.edu
85162300,normaa3@tech.edu
66440148,dorisr4@tech.edu
57603599,kellys32@tech.edu
63114973,judyr45@tech.edu
28174012,heatherc27@tech.edu
58749353,paular53@tech.edu
90359007,christinaj19@tech.edu
74197167,sharonc92@tech.edu
50602868,christinef96@tech.edu
91519120,patriciaw84@tech.edu
53090710,dianep24@tech.edu
31228182,lorit25@tech.edu
30770005,bonnien34@tech.edu
61679091,debras13@tech.edu
94359780,karenr7@tech.edu
54151550,annac1@tech.edu
21281078,emilyt28@tech.edu
26095838,teresaw61@tech.edu
68718476,marilynp47@tech.edu
32665287,virginias80@tech.edu
25259956,andreac44@tech.edu
15135744,kimberlyb55@tech.edu
27907743,kathym78@tech.edu
70941152,elizabethh72@tech.edu
92923249,jacquelineh67@tech.edu
62907702,marthap69@tech.edu
48397524,alicep88@tech.edu
37266262,rebeccaa50@tech.edu
82726753,helenj82@tech.edu
76144871,theresas64@tech.edu
76202064,dianah52@tech.edu
29987810,shirleyg9@tech.edu
84794330,tammyr97@tech.edu
15196994,denisep61@tech.edu
42769063,brendaw36@tech.edu
30940202,annb14@tech.edu
12869181,judithg71@tech.edu
21092256,juliem87@tech.edu
16226056,stephanieg98@tech.edu
34257982,catherinec94@tech.edu
37196965,nicolee75@tech.edu
74625738,joyceb90@tech.edu
24664019,dorothyl6@tech.edu
52647710,micheller68@tech.edu
25074146,susant52@tech.edu
84643269,kathleenm27@tech.edu
42359548,cheryla99@tech.edu
34239312,ashleyj95@tech.edu
89471652,francesp21@tech.edu
97369151,saraj30@tech.edu
60595545,pamelak55@tech.edu
94679619,anniey23@tech.edu
31305584,margaretl65@tech.edu
